date,negative,neutral,positive
2017-05-23,17,21,62
2017-05-24,19,16,65
2017-05-25,16,13,71
2017-05-26,26,26,48
2017-05-27,20,22,58
2017-05-28,17,27,56
2017-05-29,22,18,60
2017-05-30,19,21,60
2017-05-31,17,26,57
2017-06-01,18,29,53
2017-06-02,25,16,59
2017-06-03,19,23,58
2017-06-04,20,18,62
2017-06-05,28,16,56
2017-06-06,24,15,61
2017-06-07,24,28,48
2017-06-08,23,12,65
2017-06-09,12,27,61
2017-06-10,29,19,52
2017-06-11,24,17,59
2017-06-12,28,17,55
2017-06-13,24,30,46
2017-06-14,25,30,45
2017-06-15,21,20,59
2017-06-16,26,23,51
2017-06-17,30,15,55
2017-06-18,21,19,60
2017-06-19,26,15,59
2017-06-20,27,15,58
2017-06-21,19,29,52
2017-06-22,18,22,60
2017-06-23,34,15,51
2017-06-24,21,14,65
2017-06-25,19,18,63
2017-06-26,29,22,49
2017-06-27,24,17,59
2017-06-28,17,25,58
2017-06-29,22,23,55
2017-06-30,26,22,52
2017-07-01,24,26,50
2017-07-02,21,11,68
2017-07-03,18,20,62
2017-07-04,28,16,56
2017-07-05,20,18,62
2017-07-06,19,25,56
2017-07-07,31,19,50
2017-07-08,24,18,58
2017-07-09,25,15,60
2017-07-10,24,20,56
2017-07-11,26,15,59
2017-07-12,14,26,60
2017-07-13,30,13,57
2017-07-14,19,17,64
2017-07-15,26,17,57
2017-07-16,21,13,66
2017-07-17,25,16,59
2017-07-18,22,25,53
2017-07-19,32,20,48
2017-07-20,23,24,53
2017-07-21,22,20,58
2017-07-22,25,18,57
2017-07-23,19,12,69
2017-07-24,19,23,58
2017-07-25,22,20,58
2017-07-26,22,19,59
2017-07-27,18,24,58
2017-07-28,13,13,74
2017-07-29,23,18,59
2017-07-30,27,16,57
2017-07-31,14,32,54
2017-08-01,23,23,54
2017-08-02,12,20,68
2017-08-03,21,13,66
2017-08-04,18,25,57
2017-08-05,23,22,55
2017-08-06,29,16,55
2017-08-07,27,19,54
2017-08-08,31,20,49
2017-08-09,33,34,33
2017-08-10,29,23,48
2017-08-11,27,19,54
2017-08-12,26,15,59
2017-08-13,24,17,59
2017-08-14,35,23,42
2017-08-15,34,18,48
